URL,Page Type,Keyword,Clicks,Impressions,CTR,Position,Title,Meta Description,H1,Status,Canonical,Indexability,Issue,Priority,AI Recommendation,Human Review,Status
https://www.paytm.com/personal-loan,Loan,Personal Loan,18450,325000,5.68%,7.2,Personal Loan - Paytm,"Apply for a personal loan online with Paytm. Check eligibility, interest rates and loan options.",Apply for Personal Loan,200,https://www.paytm.com/personal-loan,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/personal-loan/apply,Loan,Apply Personal Loan,4200,98000,4.29%,12.8,Apply Personal Loan Online | Paytm,Apply for a personal loan online with Paytm.,Fast Personal Loan Online,200,https://www.paytm.com/personal-loan/apply,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/credit-score,Finance,CIBIL Score,15200,285000,5.33%,8.4,CIBIL Score - Paytm,Check your CIBIL score online and understand your credit profile with Paytm.,CIBIL Score,200,https://www.paytm.com/credit-score,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/emi-calculator,Calculator,EMI Calculator,22100,410000,5.39%,6.1,EMI Calculator | Paytm,Calculate your loan EMI online using Paytm's EMI calculator.,EMI Calculator,200,https://www.paytm.com/emi-calculator,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/loans/personal-loan,Loan,Personal Loan,3200,76000,4.21%,18.5,Personal Loan Online,Find personal loan information and options online.,Personal Loan,200,https://www.paytm.com/loans/personal-loan,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/insurance,Insurance,Insurance,9800,190000,5.16%,10.2,Insurance Online | Paytm,Explore insurance products and plans online with Paytm.,Insurance,200,https://www.paytm.com/insurance,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/fastag,FASTag,FASTag,12600,210000,6.00%,5.8,FASTag Recharge & Services | Paytm,Recharge your FASTag online and manage your FASTag account with Paytm.,FASTag Recharge,200,https://www.paytm.com/fastag,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/recharge/mobile,Recharge,Mobile Recharge,31500,580000,5.43%,4.7,Mobile Recharge Online | Paytm,Recharge your mobile online quickly with Paytm.,Mobile Recharge Online,200,https://www.paytm.com/recharge/mobile,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/recharge/dth,DTH,DTH Recharge,8900,145000,6.14%,9.6,DTH Recharge Online | Paytm,Recharge your DTH connection online using Paytm.,DTH Recharge,200,https://www.paytm.com/recharge/dth,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/bank-account,Banking,Savings Account,7600,165000,4.61%,14.2,Open Savings Account Online | Paytm,Explore digital banking and savings account options with Paytm.,Open Savings Account,200,https://www.paytm.com/bank-account,INDEXABLE,Low CTR,Low,Analyze GSC queries and recommend improved title and meta description.,Review,Open
